,DATE,PRECIP_TOTAL_DAY_MM,VISIBILITY_AVG_KM
0,2017-01-01,0.0,10.0
1,2017-01-02,0.3,8.0
2,2017-01-03,0.0,9.0
3,2017-01-04,0.6,7.0
4,2017-01-05,0.0,8.0
5,2017-01-06,0.0,10.0
6,2017-01-07,0.3,9.125
7,2017-01-08,0.9,0.25
8,2017-01-09,1.6,5.125
9,2017-01-10,6.2,7.0
10,2017-01-11,1.0,6.625
11,2017-01-12,8.4,6.5
12,2017-01-13,3.5,9.75
13,2017-01-14,1.2,9.75
14,2017-01-15,5.0,7.75
15,2017-01-16,0.0,7.0
16,2017-01-17,0.0,8.625
17,2017-01-18,0.0,10.0
18,2017-01-19,0.0,10.0
19,2017-01-20,0.0,9.0
20,2017-01-21,0.0,8.0
21,2017-01-22,0.0,10.0
22,2017-01-23,0.0,10.0
23,2017-01-24,0.5,9.75
24,2017-01-25,0.0,7.0
25,2017-01-26,0.0,10.0
26,2017-01-27,1.0,8.75
27,2017-01-28,2.6,7.5
28,2017-01-29,0.6,9.625
29,2017-01-30,11.4,4.125
30,2017-01-31,4.3,5.5
31,2017-02-01,1.0,7.375
32,2017-02-02,1.2,8.25
33,2017-02-03,2.3,7.375
34,2017-02-04,9.4,9.0
35,2017-02-05,6.1,8.375
36,2017-02-06,0.4,10.0
37,2017-02-07,8.3,8.0
38,2017-02-08,0.2,8.0
39,2017-02-09,0.3,9.0
40,2017-02-10,0.3,10.0
41,2017-02-11,0.2,9.0
42,2017-02-12,1.5,7.75
43,2017-02-13,0.0,10.0
44,2017-02-14,0.7,8.375
45,2017-02-15,1.3,9.75
46,2017-02-16,2.8,8.75
47,2017-02-17,0.0,10.0
48,2017-02-18,0.0,9.0
49,2017-02-19,0.0,9.375
50,2017-02-20,0.6,8.625
51,2017-02-21,0.6,10.0
52,2017-02-22,0.1,10.0
53,2017-02-23,1.7,9.0
54,2017-02-24,0.7,9.875
55,2017-02-25,0.0,10.0
56,2017-02-26,0.3,10.0
57,2017-02-27,7.0,6.375
58,2017-02-28,2.0,9.75
59,2017-03-01,7.3,9.375
60,2017-03-02,0.3,10.0
61,2017-03-03,1.6,10.0
62,2017-03-04,19.5,7.25
63,2017-03-05,10.7,9.125
64,2017-03-06,11.4,8.125
65,2017-03-07,1.2,10.0
66,2017-03-08,3.4,6.25
67,2017-03-09,2.2,5.5
68,2017-03-10,0.0,7.5
69,2017-03-11,0.0,10.0
70,2017-03-12,0.0,10.0
71,2017-03-13,0.0,10.0
72,2017-03-14,0.0,8.375
73,2017-03-15,0.3,9.625
74,2017-03-16,0.0,10.0
75,2017-03-17,0.3,10.0
76,2017-03-18,7.1,8.25
77,2017-03-19,1.0,8.0
78,2017-03-20,0.3,10.0
79,2017-03-21,1.6,7.0
80,2017-03-22,0.7,9.625
81,2017-03-23,14.3,8.0
82,2017-03-24,5.2,8.5
83,2017-03-25,0.0,10.0
84,2017-03-26,0.0,10.0
85,2017-03-27,0.0,10.0
86,2017-03-28,1.0,9.625
87,2017-03-29,0.0,8.875
88,2017-03-30,0.0,18.375
89,2017-03-31,2.4,17.375
90,2017-04-01,6.3,7.625
91,2017-04-02,0.5,10.0
92,2017-04-03,0.0,10.0
93,2017-04-04,0.5,9.75
94,2017-04-05,0.1,10.0
95,2017-04-06,0.1,10.0
96,2017-04-07,0.0,10.0
97,2017-04-08,0.0,9.0
98,2017-04-09,0.0,10.0
99,2017-04-10,0.2,10.0
100,2017-04-11,0.2,10.0
101,2017-04-12,0.2,10.0
102,2017-04-13,0.3,9.0
103,2017-04-14,0.1,10.0
104,2017-04-15,1.2,9.0
105,2017-04-16,0.6,9.0
106,2017-04-17,1.0,10.0
107,2017-04-18,1.8,9.875
108,2017-04-19,0.0,9.0
109,2017-04-20,0.0,10.0
110,2017-04-21,0.0,10.0
111,2017-04-22,0.5,10.0
112,2017-04-23,0.0,10.0
113,2017-04-24,0.0,10.0
114,2017-04-25,1.7,8.0
115,2017-04-26,3.5,10.0
116,2017-04-27,5.8,8.875
117,2017-04-28,2.9,9.75
118,2017-04-29,0.7,17.25
119,2017-04-30,5.6,17.375
120,2017-05-01,4.7,9.5
121,2017-05-02,1.4,8.875
122,2017-05-03,3.8,6.75
123,2017-05-04,2.2,8.0
124,2017-05-05,0.2,7.5
125,2017-05-06,5.7,7.625
126,2017-05-07,4.0,7.75
127,2017-05-08,0.6,6.875
128,2017-05-09,0.0,10.0
129,2017-05-10,0.0,10.0
130,2017-05-11,3.0,9.625
131,2017-05-12,10.6,9.5
132,2017-05-13,1.5,8.625
133,2017-05-14,1.6,8.625
134,2017-05-15,0.1,10.0
135,2017-05-16,0.0,10.0
136,2017-05-17,3.6,9.875
137,2017-05-18,29.2,8.375
138,2017-05-19,10.5,8.5
139,2017-05-20,2.1,7.5
140,2017-05-21,0.0,10.0
141,2017-05-22,0.0,10.0
142,2017-05-23,0.2,9.375
143,2017-05-24,0.2,5.75
144,2017-05-25,0.0,8.625
145,2017-05-26,0.0,10.0
146,2017-05-27,0.1,7.875
147,2017-05-28,4.9,9.0
148,2017-05-29,5.8,8.75
149,2017-05-30,2.4,9.625
150,2017-05-31,0.0,8.0
151,2017-06-01,1.2,8.75
152,2017-06-02,21.4,7.75
153,2017-06-03,7.1,7.375
154,2017-06-04,0.2,9.0
155,2017-06-05,0.8,10.0
156,2017-06-06,8.0,9.625
157,2017-06-07,0.9,9.75
158,2017-06-08,0.1,9.0
159,2017-06-09,8.2,9.25
160,2017-06-10,0.0,10.0
161,2017-06-11,0.0,10.0
162,2017-06-12,0.1,10.0
163,2017-06-13,0.0,9.0
164,2017-06-14,0.1,8.0
165,2017-06-15,2.4,9.0
166,2017-06-16,0.1,9.0
167,2017-06-17,0.2,10.125
168,2017-06-18,0.0,9.0
169,2017-06-19,0.0,9.0
170,2017-06-20,0.6,9.875
171,2017-06-21,1.3,15.75
172,2017-06-22,1.4,9.875
173,2017-06-23,0.2,9.0
174,2017-06-24,0.1,10.0
175,2017-06-25,0.7,10.0
176,2017-06-26,0.3,8.0
177,2017-06-27,12.0,9.75
178,2017-06-28,14.7,9.25
179,2017-06-29,5.3,8.75
180,2017-06-30,4.0,13.75
181,2017-07-01,8.4,5.625
182,2017-07-02,2.0,6.375
183,2017-07-03,0.2,10.0
184,2017-07-04,0.0,8.0
185,2017-07-05,0.0,10.0
186,2017-07-06,4.0,9.5
187,2017-07-07,0.8,10.0
188,2017-07-08,0.1,10.0
189,2017-07-09,11.2,7.875
190,2017-07-10,12.9,7.625
191,2017-07-11,2.6,7.375
192,2017-07-12,4.1,9.375
193,2017-07-13,2.7,7.75
194,2017-07-14,0.6,10.0
195,2017-07-15,0.0,8.0
196,2017-07-16,0.4,10.0
197,2017-07-17,0.0,9.0
198,2017-07-18,0.1,8.75
199,2017-07-19,7.2,9.0
200,2017-07-20,2.9,10.0
201,2017-07-21,0.1,10.0
202,2017-07-22,5.9,9.375
203,2017-07-23,7.7,9.375
204,2017-07-24,18.5,9.375
205,2017-07-25,1.7,10.0
206,2017-07-26,3.3,9.0
207,2017-07-27,1.7,9.625
208,2017-07-28,0.2,10.0
209,2017-07-29,0.3,10.0
210,2017-07-30,0.2,10.0
211,2017-07-31,0.2,10.0
212,2017-08-01,0.2,10.0
213,2017-08-02,0.0,10.0
214,2017-08-03,0.6,10.0
215,2017-08-04,0.2,9.375
216,2017-08-05,1.6,7.625
217,2017-08-06,0.0,10.0
218,2017-08-07,0.1,9.875
219,2017-08-08,9.5,8.25
220,2017-08-09,5.1,9.75
221,2017-08-10,5.5,9.375
222,2017-08-11,1.1,9.875
223,2017-08-12,2.4,7.0
224,2017-08-13,0.1,10.0
225,2017-08-14,0.0,10.0
226,2017-08-15,6.7,8.25
227,2017-08-16,0.0,10.0
228,2017-08-17,2.5,8.875
229,2017-08-18,17.2,9.25
230,2017-08-19,0.8,9.875
231,2017-08-20,0.0,10.0
232,2017-08-21,0.8,7.0
233,2017-08-22,0.0,10.0
234,2017-08-23,0.0,10.0
235,2017-08-24,0.0,10.0
236,2017-08-25,5.3,9.875
237,2017-08-26,0.0,10.0
238,2017-08-27,0.0,10.0
239,2017-08-28,0.0,10.0
240,2017-08-29,0.5,9.875
241,2017-08-30,4.0,15.375
242,2017-08-31,1.9,18.0
243,2017-09-01,4.0,10.875
244,2017-09-02,0.6,9.75
245,2017-09-03,0.2,9.375
246,2017-09-04,0.4,9.0
247,2017-09-05,0.0,10.0
248,2017-09-06,0.0,10.0
249,2017-09-07,0.0,10.0
250,2017-09-08,8.0,9.625
251,2017-09-09,12.0,9.25
252,2017-09-10,0.7,9.875
253,2017-09-11,1.4,10.0
254,2017-09-12,0.0,10.0
255,2017-09-13,53.2,8.375
256,2017-09-14,13.8,9.375
257,2017-09-15,0.0,10.0
258,2017-09-16,0.0,10.0
259,2017-09-17,3.8,10.0
260,2017-09-18,1.6,10.0
261,2017-09-19,0.0,10.0
262,2017-09-20,0.0,10.0
263,2017-09-21,0.0,10.0
264,2017-09-22,0.0,10.0
265,2017-09-23,0.0,10.0
266,2017-09-24,0.0,10.0
267,2017-09-25,0.0,10.0
268,2017-09-26,0.0,10.0
269,2017-09-27,0.0,10.0
270,2017-09-28,0.0,10.0
271,2017-09-29,1.6,10.0
272,2017-09-30,3.8,9.625
273,2017-10-01,2.5,9.75
274,2017-10-02,2.3,9.75
275,2017-10-03,9.2,16.75
276,2017-10-04,0.0,11.625
277,2017-10-05,0.0,10.0
278,2017-10-06,0.0,10.0
279,2017-10-07,0.0,10.0
280,2017-10-08,0.0,10.0
281,2017-10-09,0.0,10.0
282,2017-10-10,0.0,10.0
283,2017-10-11,0.0,10.0
284,2017-10-12,0.0,10.0
285,2017-10-13,0.0,10.0
286,2017-10-14,0.0,10.0
287,2017-10-15,0.0,10.0
288,2017-10-16,0.0,10.0
289,2017-10-17,0.0,10.0
290,2017-10-18,0.0,10.0
291,2017-10-19,0.0,10.0
292,2017-10-20,8.0,9.75
293,2017-10-21,2.4,9.75
294,2017-10-22,0.0,10.0
295,2017-10-23,0.0,10.0
296,2017-10-24,0.0,10.0
297,2017-10-25,0.0,10.0
298,2017-10-26,0.0,10.0
299,2017-10-27,0.1,10.0
300,2017-10-28,0.0,10.0
301,2017-10-29,0.8,8.0
302,2017-10-30,0.0,18.25
303,2017-10-31,0.0,20.0
304,2017-11-01,0.0,10.0
305,2017-11-02,0.0,10.0
306,2017-11-03,0.0,10.0
307,2017-11-04,1.4,10.0
308,2017-11-05,1.4,9.875
309,2017-11-06,0.0,10.0
310,2017-11-07,0.0,10.0
311,2017-11-08,0.0,10.0
312,2017-11-09,0.2,9.375
313,2017-11-10,2.9,8.625
314,2017-11-11,18.8,8.375
315,2017-11-12,23.6,8.25
316,2017-11-13,0.4,9.875
317,2017-11-14,0.0,10.0
318,2017-11-15,0.0,10.0
319,2017-11-16,0.0,10.0
320,2017-11-17,0.4,9.875
321,2017-11-18,0.0,10.0
322,2017-11-19,1.7,9.0
323,2017-11-20,0.2,10.0
324,2017-11-21,0.0,10.0
325,2017-11-22,0.0,10.0
326,2017-11-23,4.6,10.0
327,2017-11-24,2.5,10.0
328,2017-11-25,2.4,8.75
329,2017-11-26,0.3,10.0
330,2017-11-27,7.9,8.375
331,2017-11-28,15.6,8.875
332,2017-11-29,0.4,16.625
333,2017-11-30,2.3,16.0
334,2017-12-01,0.2,9.75
335,2017-12-02,0.0,10.0
336,2017-12-03,2.6,8.125
337,2017-12-04,0.1,5.375
338,2017-12-05,0.1,10.0
339,2017-12-06,0.0,10.0
340,2017-12-07,7.9,8.125
341,2017-12-08,3.1,10.0
342,2017-12-09,0.2,10.0
343,2017-12-10,18.8,7.875
344,2017-12-11,21.6,7.875
345,2017-12-12,0.1,10.0
346,2017-12-13,8.8,9.125
347,2017-12-14,19.3,7.875
348,2017-12-15,5.8,14.875
349,2017-12-16,1.2,10.25
350,2017-12-17,2.9,9.375
351,2017-12-18,8.7,9.125
352,2017-12-19,0.0,9.0
353,2017-12-20,0.5,7.0
354,2017-12-21,2.9,2.625
355,2017-12-22,1.4,3.125
356,2017-12-23,0.5,4.875
357,2017-12-24,1.2,7.0
358,2017-12-25,0.6,10.0
359,2017-12-26,1.5,8.625
360,2017-12-27,9.0,7.625
361,2017-12-28,0.0,10.0
362,2017-12-29,10.4,8.625
363,2017-12-30,12.2,8.25
364,2017-12-31,5.6,8.5
